"","Self_control","Gender","Grade"
"23",1725.86,"males","7th grade"
"24",5852,"males","7th grade"
"25",4130.75,"males","7th grade"
"26",7385.6,"males","7th grade"
"27",2163.206,"males","7th grade"
"28",4548.188,"males","7th grade"
"29",3389.726,"males","7th grade"
"30",6070.304,"males","7th grade"
"31",3577.088,"males","7th grade"
"32",3827.972,"males","7th grade"
"33",4087.712,"males","7th grade"
"34",4306.142,"males","7th grade"
"35",3595.808,"males","10th grade"
"36",4143.224,"males","10th grade"
"37",5150.216,"males","10th grade"
"38",8920.928,"males","10th grade"
"39",2637.488,"males","10th grade"
"40",3844.532,"males","10th grade"
"41",5171.744,"males","10th grade"
"42",5589.128,"males","10th grade"
"43",7388.354,"males","10th grade"
"44",4908.8,"males","10th grade"
"45",5890.592,"males","10th grade"
"46",5780.144,"males","10th grade"
"47",3867.662,"males","10th grade"
"48",3835.424,"males","10th grade"
"49",5936.24,"males","10th grade"
"50",7202,"males","10th grade"
"68",9722.504,"females","7th grade"
"69",6568.256,"females","7th grade"
"70",8895.008,"females","7th grade"
"71",7315.4,"females","7th grade"
"72",10472.456,"females","7th grade"
"73",4946.852,"females","7th grade"
"74",6678.056,"females","7th grade"
"75",3887.84,"females","7th grade"
"76",6260.24,"females","7th grade"
"77",6759.452,"females","7th grade"
"78",5390.3,"females","7th grade"
"79",8239.97,"females","7th grade"
"80",4453.94,"females","7th grade"
"81",1920.8,"females","7th grade"
"82",6089.204,"females","7th grade"
"83",8705.306,"females","7th grade"
"84",4172.33,"females","10th grade"
"85",4233.44,"females","10th grade"
"86",2969.12,"females","10th grade"
"87",5844.224,"females","10th grade"
"88",10759.52,"females","10th grade"
"89",9864.56,"females","10th grade"
"90",7092.272,"females","10th grade"
"91",10217,"females","10th grade"
"92",13450.25,"females","10th grade"
"93",10797.536,"females","10th grade"
"94",4453.94,"females","10th grade"
"95",8957.054,"females","10th grade"
"96",7646.96,"females","10th grade"
"97",12046.88,"females","10th grade"
"98",10953.056,"females","10th grade"
"99",4360.952,"females","10th grade"
"100",7094.27,"females","10th grade"
